Date,Open,High,Low,Close,Volume
2011-08-19,10.9,10.9,10.9,10.9,0.49
2011-08-20,11.85,11.85,11.15,11.69,1.93
2011-08-21,11.7,11.7,11.7,11.7,0.09
2011-08-22,11.7,11.7,11.7,11.7,0.09
2011-08-23,11.7,11.7,11.7,11.7,0.03
2011-08-24,11.7,11.7,11.7,11.7,0.03
2011-08-25,11.5,11.5,10.5,10.5,2.36
2011-08-26,10.0,10.0,10.0,10.0,1.1
2011-08-27,10.0,10.0,10.0,10.0,1.1
2011-08-28,10.0,10.0,10.0,10.0,1.1
2011-08-29,10.0,10.0,10.0,10.0,1.1
2011-08-30,10.0,10.0,10.0,10.0,1.1
2011-08-31,8.0,8.0,8.0,8.0,1.0
2011-09-01,8.0,8.0,8.0,8.0,1.0
2011-09-02,8.0,8.31,5.25,8.22,164.48
2011-09-03,8.12,8.88,8.0,8.88,79.76
2011-09-04,8.12,8.88,8.0,8.88,79.76
2011-09-05,8.89,8.89,8.89,8.89,0.2
2011-09-06,8.89,8.89,8.89,8.89,0.2
2011-09-07,8.0,8.0,8.0,8.0,21.0
2011-09-08,8.5,8.5,8.5,8.5,3.0
2011-09-09,7.98,7.98,7.4,7.4,6.86
2011-09-10,7.98,7.98,7.4,7.4,6.86
2011-09-11,7.98,7.98,7.4,7.4,6.86
2011-09-12,7.98,7.98,7.4,7.4,6.86
2011-09-13,7.98,7.98,7.4,7.4,6.86
2011-09-14,5.8,6.0,5.65,5.97,58.37
2011-09-15,5.58,5.72,5.52,5.53,61.15
2011-09-16,5.12,5.24,5.0,5.13,80.14
2011-09-17,4.82,4.87,4.8,4.85,39.91
2011-09-18,4.87,4.87,4.87,4.87,0.3
2011-09-19,4.87,4.92,4.81,4.92,119.81
2011-09-20,4.9,4.9,4.9,4.9,20.0
2011-09-21,4.92,5.66,4.92,5.66,89.28
2011-09-22,5.7,5.79,5.66,5.66,17.63
2011-09-23,5.68,5.72,5.68,5.72,43.78
2011-09-24,5.7,5.72,5.7,5.72,20.68
2011-09-25,5.7,5.76,5.68,5.68,90.59
2011-09-26,6.05,6.05,6.05,6.05,12.22
2011-09-27,6.06,6.06,4.8,4.8,39.58
2011-09-28,4.85,4.92,4.85,4.92,24.35
2011-09-29,4.9,4.91,4.82,4.82,83.05
2011-09-30,4.81,4.82,4.81,4.82,46.96
2011-10-01,4.81,4.82,4.81,4.82,46.96
2011-10-02,4.81,4.82,4.81,4.82,46.96
2011-10-03,4.81,4.82,4.81,4.82,46.96
2011-10-04,4.85,4.87,4.83,4.87,30.58
2011-10-05,4.86,5.3,4.8,4.98,142.52
2011-10-06,4.92,6.25,4.8,4.92,113.72
2011-10-07,4.88,4.99,4.8,4.8,170.84
2011-10-08,4.8,4.81,4.59,4.61,94.64
2011-10-09,4.57,4.57,3.99,3.99,56.0
2011-10-10,3.89,3.89,3.89,3.89,11.0
2011-10-11,3.99,4.51,3.99,4.51,132.5
2011-10-12,3.98,4.1,3.98,4.1,78.08
2011-10-13,3.95,3.99,3.93,3.93,79.52
2011-10-14,3.93,3.97,3.93,3.97,109.62
2011-10-15,4.05,4.05,4.05,4.05,96.98
2011-10-16,4.05,4.05,4.05,4.05,96.98
2011-10-17,4.05,4.05,4.05,4.05,96.98
2011-10-18,3.92,3.92,3.92,3.92,10.24
2011-10-19,3.92,3.92,3.92,3.92,10.24
2011-10-20,3.92,3.92,3.92,3.92,10.24
2011-10-21,2.22,2.29,2.22,2.24,61.97
2011-10-22,2.22,2.27,2.22,2.27,41.46
2011-10-23,2.22,2.27,2.22,2.27,41.46
2011-10-24,2.22,2.27,2.22,2.27,41.46
2011-10-25,2.99,2.99,2.92,2.92,64.54
2011-10-26,2.66,2.72,2.66,2.72,130.3
2011-10-27,2.72,3.0,2.67,2.69,268.27
2011-10-28,2.72,3.0,2.67,2.69,268.27
2011-10-29,3.07,4.36,3.07,4.2,118.38
2011-10-30,3.69,4.4,3.69,3.95,88.43
2011-10-31,3.85,3.85,3.2,3.5,116.38
2011-11-01,3.25,3.55,3.2,3.3,68.99
2011-11-02,3.32,3.33,3.32,3.33,38.78
2011-11-03,3.32,3.33,3.32,3.33,38.78
2011-11-04,3.32,3.33,3.32,3.33,38.78
2011-11-05,3.27,3.55,3.21,3.55,117.08
2011-11-06,3.21,3.21,3.0,3.0,103.51
2011-11-07,2.95,2.95,2.95,2.95,203.39
2011-11-08,2.95,2.95,2.95,2.95,203.39
2011-11-09,3.08,3.08,3.08,3.08,47.47
2011-11-10,3.09,3.3,3.09,3.3,58.86
2011-11-11,3.25,3.3,2.95,3.3,121.67
2011-11-12,3.3,3.3,3.3,3.3,65.43
2011-11-13,3.35,3.35,3.35,3.35,2.79
2011-11-14,3.35,3.35,3.35,3.35,29.49
2011-11-15,2.95,2.95,2.47,2.47,183.4
2011-11-16,2.99,3.0,2.5,2.5,97.34
2011-11-17,2.51,3.0,2.51,3.0,5.62
2011-11-18,3.0,3.0,2.5,2.99,17.02
